Ranking,Country,Average IQ,Participants
1,Japan,108.14,155534
2,South Korea,107,104316
3,China,106.59,190255
4,Iran (Islamic Republic of),106.52,1657
5,Singapore,104.75,5975
6,Mongolia,102.5,1393
7,Australia,101.96,6574
8,Viet Nam,101.14,10288
9,Germany,101.06,32531
10,Slovenia,101.05,2743
11,Switzerland,100.74,7527
12,Sri Lanka,100.47,3306
13,Austria,100.33,6137
14,Bulgaria,100.21,375
15,Belgium,100.03,7759
16,Russian Federation,99.95,68494
17,United States,99.9,26465
18,Finland,99.83,17589
19,Nepal,99.74,436
20,Serbia,99.74,6055
21,Netherlands,99.7,18541
22,Belarus,99.67,20059
23,Luxembourg,99.66,960
24,Italy,99.46,39018
25,New Zealand,99.35,2289
26,Czechia,99.32,10471
27,India,99.3,16883
28,Canada,99.26,14271
29,Portugal,99.2,9627
30,Sweden,99.17,9264
31,Malaysia,99.07,19532
32,United Kingdom,99.05,13237
33,Andorra,99.02,225
34,Spain,98.96,31733
35,Georgia,98.96,1112
36,Lebanon,98.79,636
37,Egypt,98.67,2516
38,Poland,98.66,15154
39,Slovakia,98.66,8434
40,Armenia,98.62,1010
41,Thailand,98.32,23074
42,Hungary,98.21,26383
43,North Macedonia,98.21,1050
44,Myanmar,98.15,682
45,Bosnia and Herzegovina,98.15,1452
46,Iceland,98.12,892
47,Croatia,98.01,7325
48,Montenegro,97.58,980
49,Cyprus,97.48,2329
50,France,97.46,28767
51,Norway,97.41,13591
52,Tunisia,97.38,4686
53,,97.37,3816
54,Bangladesh,97.18,1519
55,Turkey,97.13,42801
56,Latvia,97.07,2900
57,United Arab Emirates,97.01,1547
58,Algeria,97,5029
59,Estonia,96.97,3667
60,Israel,96.9,3744
61,Jordan,96.88,1188
62,Peru,96.83,12673
63,Greece,96.83,14489
64,Denmark,96.81,10830
65,Morocco,96.72,7390
66,Cuba,96.43,1431
67,Iraq,96.27,383
68,Ireland,96.25,1621
69,Uruguay,96.13,1437
70,Madagascar,96.01,857
71,Lithuania,95.73,6673
72,Albania,95.45,1064
73,Cambodia,95.44,1177
74,Philippines,95.39,11585
75,Oman,95.34,839
76,Moldova (Republic of),95.34,1989
77,Lao People's Democratic Republic,95.28,358
78,Uzbekistan,95.24,2945
79,Ethiopia,95.01,408
80,Pakistan,94.94,646
81,Ecuador,94.87,1628
82,Ukraine,94.78,74246
83,Saudi Arabia,94.7,1368
84,Kazakhstan,94.65,11573
85,Mexico,94.45,13480
86,Qatar,94.41,717
87,Kuwait,94.15,1471
88,Indonesia,94.04,170297
89,Romania,93.86,21004
90,Bolivia (Plurinational State of),93.81,1616
91,Chile,93.6,9878
92,Argentina,93.47,16070
93,Tajikistan,93.17,441
94,Kyrgyzstan,92.98,1991
95,South Africa,92.63,5419
96,Venezuela (Bolivarian Republic of),92.28,2430
97,Kenya,92.25,687
98,Brazil,92,47360
99,Nigeria,91.92,3772
100,Trinidad and Tobago,91.73,809
101,Jamaica,91.62,258
102,Cameroon,91.15,927
103,Paraguay,90.86,1273
104,Burkina Faso,90.7,209
105,Costa Rica,90.43,2578
106,Togo,90.38,266
107,Colombia,90.23,10332
108,Ghana,89.61,785
109,Namibia,89.02,295
110,Puerto Rico,89.02,815
111,Senegal,88.9,759
112,Gabon,88.89,401
113,Benin,88.59,303
114,Angola,88.52,266
115,Cote d'Ivoire,88.38,1631
116,Guatemala,87.92,1659
117,Panama,87.88,1177
118,Dominican Republic,87.19,2578
119,Uganda,87.16,375
120,Congo (Democratic Republic of the),87.07,653
121,El Salvador,86.96,1415
122,Congo,86.91,356
123,Honduras,86.87,2010
124,Nicaragua,86.3,1585
125,Mali,86.05,222
